"","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted"
"1692",312.54,320.57,312.41,316.34,5302300,316.34
"1693",314.01,315.9,308.77,311.49,1884900,311.49
"1694",312.43,318.08,311.28,314.13,2033600,314.13
"1695",314.53,316.71,310.75,312.65,2008600,312.65
"1696",313.9,319.37,313.26,318.12,1989900,318.12
"1697",316.92,317.21,313.35,316.01,1657500,316.01
"1698",313.41,315.31,311.06,312.64,1623600,312.64
"1699",314.22,321,313.65,320.95,2396400,320.95
"1700",318.04,321.73,317.52,320.51,2217400,320.51
"1701",320.39,322.92,313.02,314.76,2674800,314.76
"1702",315.13,319.2,312.62,319.04,1815000,319.04
"1703",315.24,315.34,309.74,310.03,2083200,310.03
"1704",311.5,311.55,300.27,303.23,3166200,303.23
"1705",303.42,303.5,296.5,298.23,3247400,298.23
"1706",304.63,306.7,302.59,305.17,2555100,305.17
"1707",304.77,310.93,303.84,310.89,2163100,310.89
"1708",309.22,311.65,307,310.7,1939100,310.7
"1709",309.87,310.79,305.26,306.4,2261100,306.4
"1710",308.38,310.8,305.55,310.49,2170700,310.49
"1711",307.07,311,305.24,310.77,2648400,310.77
"1712",319.36,331.89,316.75,328.93,5969800,328.93
"1713",329.89,330,323.8,326.44,2522300,326.44
"1714",327.72,337.11,325.68,332.54,3935500,332.54
"1715",330.84,331.72,324.06,326.76,2818200,326.76
"1716",329.63,332.65,326.75,332.21,5884700,332.21
"1717",358.6,368.4,352.62,363.39,12036800,363.39
"1718",359.92,362.75,357.2,358.16,3635800,358.16
"1719",358.96,362.89,356.29,362.7,2185400,362.7
"1720",362.62,365,358.65,361.08,4502200,361.08
"1721",361.73,366,359,364.03,2466800,364.03
"1722",365.63,365.77,356.1,359,3331000,359
"1723",360.12,361,354.4,358.74,1938400,358.74
"1724",356.78,360.17,354.84,358.89,2007100,358.89
"1725",360.45,362.87,354.5,356.18,2282300,356.18
"1726",355.86,357.9,341.88,343.56,4246300,343.56
"1727",345.95,351.05,344.04,350.31,2656900,350.31
"1728",350.59,355.37,348.06,354.38,2261700,354.38
"1729",352.99,355.48,347.28,349.53,2343100,349.53
"1730",347.4,356.22,345.68,356.22,2773300,356.22
"1731",357.39,368.94,356.43,367.4,4159800,367.4
"1732",367.63,372.9,365.55,369.17,4491600,369.17
